player_id,player_name,team,role,matches,runs,balls,strike_rate,average,wickets,overs,economy,catches,age,country
1,Virat Kohli,RCB,Batsman,14,741,490,151.22,61.75,0,0,0.00,8,36,India
2,Rajat Patidar,RCB,Batsman,14,430,290,148.28,35.83,0,0,0.00,6,31,India
3,Phil Salt,RCB,Wicketkeeper,14,505,310,162.90,42.08,0,0,0.00,11,28,England
4,Liam Livingstone,RCB,All-rounder,14,290,180,161.11,26.36,8,24,8.05,5,31,England
5,Josh Hazlewood,RCB,Bowler,14,18,25,72.00,9.00,22,54,6.85,3,34,Australia
6,Rohit Sharma,MI,Batsman,14,540,380,142.10,41.53,0,0,0.00,7,38,India
7,Suryakumar Yadav,MI,Batsman,14,610,355,171.83,50.83,0,0,0.00,8,35,India
8,Hardik Pandya,MI,All-rounder,14,330,210,157.14,30.00,15,46,8.25,9,32,India
9,Jasprit Bumrah,MI,Bowler,14,20,25,80.00,10.00,24,56,6.20,2,31,India
10,Tilak Varma,MI,Batsman,14,470,310,151.61,42.72,0,0,0.00,5,23,India
11,Ruturaj Gaikwad,CSK,Batsman,14,625,445,140.44,48.07,0,0,0.00,9,28,India
12,MS Dhoni,CSK,Wicketkeeper,14,185,105,176.19,37.00,0,0,0.00,14,44,India
13,Ravindra Jadeja,CSK,All-rounder,14,310,220,140.91,31.00,17,52,7.35,13,37,India
14,Matheesha Pathirana,CSK,Bowler,14,15,18,83.33,7.50,20,53,7.12,4,24,Sri Lanka
15,Devon Conway,CSK,Batsman,14,505,360,140.28,45.91,0,0,0.00,6,34,New Zealand
16,Shubman Gill,GT,Batsman,14,650,430,151.16,54.16,0,0,0.00,8,26,India
17,Sai Sudharsan,GT,Batsman,14,595,410,145.12,49.58,0,0,0.00,7,24,India
18,Rashid Khan,GT,All-rounder,14,155,95,163.15,22.14,19,56,6.55,9,27,Afghanistan
19,Mohammed Siraj,GT,Bowler,14,18,22,81.82,9.00,21,54,7.08,3,32,India
20,Rahul Tewatia,GT,All-rounder,14,250,150,166.67,35.71,6,18,8.40,5,33,India
21,Sanju Samson,RR,Wicketkeeper,14,575,385,149.35,47.91,0,0,0.00,10,31,India
22,Yashasvi Jaiswal,RR,Batsman,14,545,360,151.39,42.00,0,0,0.00,6,24,India
23,Riyan Parag,RR,All-rounder,14,470,300,156.67,39.16,9,26,8.15,8,24,India
24,Trent Boult,RR,Bowler,14,10,20,50.00,5.00,20,56,7.10,2,37,New Zealand
25,Yuzvendra Chahal,RR,Bowler,14,8,12,66.67,4.00,23,55,7.55,3,35,India
26,Shreyas Iyer,PBKS,Batsman,14,590,395,149.37,49.16,0,0,0.00,8,31,India
27,Prabhsimran Singh,PBKS,Wicketkeeper,14,465,305,152.46,38.75,0,0,0.00,6,25,India
28,Marcus Stoinis,PBKS,All-rounder,14,335,215,155.81,30.45,11,34,8.12,7,36,Australia
29,Arshdeep Singh,PBKS,Bowler,14,18,25,72.00,9.00,21,56,7.38,3,27,India
30,Yuzvendra Chahal,PBKS,Bowler,14,12,18,66.67,6.00,22,55,7.25,4,35,India
31,Axar Patel,DC,All-rounder,14,365,245,148.98,33.18,15,52,7.18,10,32,India
32,KL Rahul,DC,Wicketkeeper,14,560,385,145.45,46.67,0,0,0.00,12,34,India
33,Faf du Plessis,DC,Batsman,14,485,330,146.97,40.41,0,0,0.00,7,41,South Africa
34,Kuldeep Yadav,DC,Bowler,14,18,20,90.00,9.00,23,56,6.95,3,31,India
35,Mitchell Starc,DC,Bowler,14,15,18,83.33,7.50,19,54,7.42,2,36,Australia
36,Ajinkya Rahane,KKR,Batsman,14,470,330,142.42,39.16,0,0,0.00,6,38,India
37,Rinku Singh,KKR,Batsman,14,420,255,164.71,38.18,0,0,0.00,8,29,India
