team_id,team_name,short_name,captain,home_ground
1,Chennai Super Kings,CSK,Ruturaj Gaikwad,Chennai
2,Mumbai Indians,MI,Hardik Pandya,Mumbai
3,Royal Challengers Bengaluru,RCB,Rajat Patidar,Bengaluru
4,Kolkata Knight Riders,KKR,Ajinkya Rahane,Kolkata
5,Rajasthan Royals,RR,Sanju Samson,Jaipur
6,Gujarat Titans,GT,Shubman Gill,Ahmedabad
7,Lucknow Super Giants,LSG,Rishabh Pant,Lucknow
8,Delhi Capitals,DC,Axar Patel,Delhi
9,Punjab Kings,PBKS,Shreyas Iyer,Mullanpur
10,Sunrisers Hyderabad,SRH,Pat Cummins,Hyderabad
